"strain","sample","name","lineage","vni_subdivision","mating_type","country_of_origin","isolation_source","broad_project","sra_accession","strain_description","in_gwas","phenotyped","source","dataset","species_id_from_mash_anlaysis","study","hiv_status","continent_of_origin","year_of_origin","mean_depth_of_mapping_with_mq_._30_across_whole_genome","proportion_of_genome_covered_by_at_least_5_reads_which_mapped_with_mq_._30","run"
"BK236","ERS1142839","20427_3#45","VNI","VNIa-5","","Vietnam","","","ERR1671715","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2009,52.90799873,0.960196419,NA
"BK237","ERS1142840","20427_3#46","VNI","VNIa-93","","Vietnam","","","ERR1671716","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2009,51.59885649,0.95982795,NA
"BK238","ERS1142841","20427_3#47","VNI","VNIa-4","","Vietnam","","","ERR1671717","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2009,44.10851824,0.956818611,NA
"BK239","ERS1142842","20427_3#48","VNI","VNIa-4","","Vietnam","","","ERR1671718","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2009,43.41541414,0.957660274,NA
"BK24","ERS1142704","20427_2#13","VNI","VNIa-93","","Vietnam","","","ERR1671611","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2004,38.92304497,0.959297344,NA
"BK240","ERS1142843","20427_3#49","VNI","VNIa-4","","Vietnam","","","ERR1671719","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2009,45.51039134,0.95664257,NA
"BK241","ERS1142844","20427_3#50","VNI","VNIa-5","","Vietnam","","","ERR1671720","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2009,65.5101733,0.960629859,NA
"BK242","ERS1142845","20427_3#51","VNI","VNIa-5","","Vietnam","","","ERR1671721","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2009,54.8267877,0.960365111,NA
"BK243","ERS1142846","20427_3#52","VNI","VNIa-93","","Vietnam","","","ERR1671722","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2009,67.8779864,0.988324345,NA
"BK244","ERS1142847","20427_3#53","VNI","VNIa-4","","Vietnam","","","ERR1671723","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2009,50.35784616,0.957340811,NA
"BK245","ERS542520","14893_1#34","VNI","VNIa-4","","Vietnam","","","ERR842589","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2009,35.32625328,0.956662976,NA
"BK246","ERS1142848","20427_3#54","VNI","VNIa-4","","Vietnam","","","ERR1671724","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2009,48.15042009,0.957383156,NA
"BK247","ERS1142849","20427_3#55","VNI","VNIa-4","","Vietnam","","","ERR1671725","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2009,39.08280319,0.956916094,NA
"BK248","ERS1142850","20427_3#56","VNI","VNIa-4","","Vietnam","","","ERR1671726","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2009,47.3870004,0.956761622,NA
"BK249","ERS1142851","20427_3#57","VNI","VNIa-5","","Vietnam","","","ERR1671727","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2009,48.32869913,0.959829589,NA
"BK25","ERS1142705","20427_2#14","VNI","VNIa-5","","Vietnam","","","ERR1671612","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2004,40.74122087,0.959177393,NA
"BK250","ERS1142852","20427_3#58","VNI","VNIa-4","","Vietnam","","","ERR1671728","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2009,68.31460816,0.95829476,NA
"BK251","ERS1142853","20949_2#32","VNI","VNIa-5","","Vietnam","","","ERR1756565","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2009,43.75959475,0.9900163,NA
"BK252","ERS542527","14893_1#40","VNI","VNIa-93","","Vietnam","","","ERR842593","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2009,36.62554168,0.957816014,NA
"BK253","ERS1142854","20949_2#33","VNI","VNIa-4","","Vietnam","","","ERR1756566","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2009,47.61040867,0.985541305,NA
"BK254","ERS1142855","20949_2#34","VNI","VNIa-4","","Vietnam","","","ERR1756567","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2009,48.55711823,0.986198119,NA
"BK255","ERS1142856","20949_2#35","VNI","VNIa-5","","Vietnam","","","ERR1756568","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2009,44.93359525,0.99072409,NA
"BK256","ERS1142857","20949_2#36","VNI","VNIa-93","","Vietnam","","","ERR1756569","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2009,38.80340051,0.98781718,NA
"BK257","ERS1142858","20949_2#37","VNI","VNIa-5","","Vietnam","","","ERR1756570","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2009,50.50473101,0.99090248,NA
"BK258","ERS1142859","20949_2#38","VNI","VNIa-93","","Vietnam","","","ERR1756571","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2009,39.70099908,0.988022673,NA
"BK259","ERS1142860","20949_2#39","VNI","VNIa-93","","Vietnam","","","ERR1756572","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2009,45.70941729,0.988764024,NA
"BK26","ERS542389","14892_1#93","VNI","VNIa-5","","Vietnam","","","ERR842555","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2004,31.03102605,0.958305068,NA
"BK260","ERS1142861","20427_4#1","VNI","VNIa-4","","Vietnam","","","ERR1671729","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2009,61.72034228,0.957426875,NA
"BK261","ERS542536","14893_1#48","VNI","VNIa-4","","Vietnam","","","ERR842599","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2009,30.63606504,0.956486724,NA
"BK262","ERS542537","14893_1#49","VNI","VNIa-5","","Vietnam","","","ERR842600","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2009,32.03735907,0.958617183,NA
"BK263","ERS1142862","20427_4#2","VNI","VNIa-4","","Vietnam","","","ERR1671730","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2009,54.82606317,0.957835574,NA
"BK264","ERS542539","14893_1#51","VNI","VNIa-4","","Vietnam","","","ERR842602","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2009,33.04573882,0.954394962,NA
"BK265","ERS542540","14893_1#52","VNI","VNIa-4","","Vietnam","","","ERR842603","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2009,31.34605697,0.955867199,NA
"BK266","ERS1142863","20427_4#3","VNI","VNIa-4","","Vietnam","","","ERR1671731","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2010,52.05638655,0.956606358,NA
"BK267","ERS1142864","20427_4#4","VNI","VNIa-4","","Vietnam","","","ERR1671732","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2010,49.5176755,0.95706771,NA
"BK268","ERS1142865","20949_2#40","VNI","VNIa-4","","Vietnam","","","ERR1756573","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2010,35.42119473,0.984455984,NA
"BK269","ERS1142866","20427_4#5","VNI","VNIa-5","","Vietnam","","","ERR1671733","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2010,52.62593617,0.959550884,NA
"BK27","ERS542302","14892_1#7","VNI","VNIa-32","","Vietnam","","","ERR842482","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2004,40.71312458,0.959513033,NA
"BK270","ERS542545","14893_1#57","VNI","VNIa-4","","Vietnam","","","ERR842607","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2010,31.13559837,0.955840555,NA
"BK271","ERS542546","14893_1#58","VNI","VNIa-4","","Vietnam","","","ERR842608","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2010,31.78643653,0.953553828,NA
"BK272","ERS1142867","20949_2#41","VNI","VNIa-5","","Vietnam","","","ERR1756574","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2010,37.30256136,0.989536976,NA
"BK273","ERS1142868","20427_4#6","VNI","VNIa-93","","Vietnam","","","ERR1671734","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2010,52.86287774,0.959817535,NA
"BK274","ERS1142869","20949_2#42","VNI","VNIa-4","","Vietnam","","","ERR1756575","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2010,52.21415275,0.986985152,NA
"BK275","ERS1142870","20427_4#7","VNI","VNIa-5","","Vietnam","","","ERR1671735","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2010,60.05694243,0.960663745,NA
"BK276","ERS1142871","20427_4#8","VNI","VNIa-4","","Vietnam","","","ERR1671736","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2010,57.48260373,0.958129556,NA
"BK277","ERS1142872","20949_2#43","VNI","VNIa-93","","Vietnam","","","ERR1756576","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2010,44.00295222,0.988595956,NA
"BK278","ERS1142873","20427_4#9","VNI","VNIa-4","","Vietnam","","","ERR1671737","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2010,54.78504791,0.955173928,NA
"BK279","ERS542554","14893_1#66","VNI","VNIa-4","","Vietnam","","","ERR842612","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2010,31.00272021,0.956243439,NA
"BK28","ERS542310","14892_1#15","VNI","VNIa-5","","Vietnam","","","ERR842489","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2004,32.73210353,0.958618399,NA
"BK280","ERS1142874","20427_4#10","VNI","VNIa-4","","Vietnam","","","ERR1671738","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2010,52.62448902,0.957382468,NA
"BK282","ERS1142875","20427_4#11","VNI","VNIa-4","","Vietnam","","","ERR1671739","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2010,51.58028094,0.957919947,NA
"BK283","ERS1142876","20949_2#44","VNI","VNIa-93","","Vietnam","","","ERR1756577","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2010,48.55734299,0.988277977,NA
"BK284","ERS542558","14893_1#70","VNI","VNIa-4","","Vietnam","","","ERR842614","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2010,31.75931958,0.955420014,NA
"BK285","ERS1142877","20427_4#12","VNI","VNIa-4","","Vietnam","","","ERR1671740","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2010,57.98803021,0.956945962,NA
"BK286","ERS1142878","20427_4#13","VNI","VNIa-4","","Vietnam","","","ERR1671741","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2010,67.31403671,0.958054964,NA
"BK287","ERS2541102","BK287","VNI","VNIa-4","","Vietnam","","","ERR2624293","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2010,39.46106548,0.984431052,NA
"BK288","ERS1142880","20427_4#15","VNI","VNIa-5","","Vietnam","","","ERR1671743","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2010,56.98073963,0.960304369,NA
"BK289","ERS1142881","20949_2#45","VNI","VNIa-93","","Vietnam","","","ERR1756578","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2010,51.4371031,0.98874142,NA
"BK29","ERS1142706","20949_2#3","VNI","VNIa-93","","Vietnam","","","ERR1756536","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2004,69.61905773,0.990468151,NA
"BK290","ERS1142882","20949_2#46","VNI","VNIa-5","","Vietnam","","","ERR1756579","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2010,53.73118204,0.990708845,NA
"BK291","ERS1142883","20427_4#16","VNI","VNIa-4","","Vietnam","","","ERR1671744","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2010,65.35545486,0.958265049,NA
"BK293","ERS1142885","20427_4#17","VNI","VNIa-5","","Vietnam","","","ERR1671745","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2010,59.02213616,0.960602845,NA
"BK294","ERS1142886","20949_2#48","VNI","VNIa-5","","Vietnam","","","ERR1756581","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2010,46.24528779,0.990102901,NA
"BK295","ERS1142887","20949_2#49","VNI","VNIa-4","","Vietnam","","","ERR1756582","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2010,48.98397682,0.986616727,NA
"BK296","ERS1142888","20427_4#18","VNI","VNIa-5","","Vietnam","","","ERR1671746","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2010,63.40046704,0.960518155,NA
"BK297","ERS1142889","20427_4#19","VNI","VNIa-5","","Vietnam","","","ERR1671747","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2010,57.45603397,0.960120558,NA
"BK298","ERS1142890","20949_2#50","VNI","VNIa-5","","Vietnam","","","ERR1756583","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2010,51.69359473,0.990605464,NA
"BK3","ERS1142692","20427_2#1","VNI","VNIa-5","","Vietnam","","","ERR1671599","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2004,50.12743558,0.96042543,NA
"BK30","ERS542326","14892_1#30","VNI","VNIa-4","","Vietnam","","","ERR842498","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2004,31.20818968,0.955828872,NA
"BK301","ERS1142892","20949_2#52","VNI","VNIa-5","","Vietnam","","","ERR1756585","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",NA,49.29881707,0.989773065,NA
"BK31","ERS542334","14892_1#38","VNI","VNIa-5","","Vietnam","","","ERR842505","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2004,30.25511179,0.958299359,NA
"BK32","ERS542342","14892_1#46","VNI","VNIa-4","","Vietnam","","","ERR842512","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2004,32.44603705,0.954472251,NA
"BK33","ERS1142707","20427_2#15","VNI","VNIa-93","","Vietnam","","","ERR1671613","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2004,45.2034851,0.959563149,NA
"BK34","ERS1142708","20949_2#4","VNI","VNIa-5","","Vietnam","","","ERR1756537","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2004,60.40661127,0.992006116,NA
"BK35","ERS542366","14892_1#70","VNI","VNIa-4","","Vietnam","","","ERR842534","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2004,59.51275575,0.956928993,NA
"BK36","ERS542374","14892_1#78","VNI","VNIa-32","","Vietnam","","","ERR842541","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,34.76309984,0.958766421,NA
"BK37","ERS1142709","20427_2#16","VNI","VNIa-5","","Vietnam","","","ERR1671614","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,39.7988643,0.959611626,NA
"BK38","ERS1142710","20949_2#5","VNI","VNIa-5","","Vietnam","","","ERR1756538","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,54.81292685,0.9916126,NA
"BK39","ERS542303","14892_1#8","VNI","VNIa-5","","Vietnam","","","ERR842483","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,40.22910518,0.9592015,NA
"BK4","ERS542324","14892_1#29","VNI","VNIa-5","","Vietnam","","","ERR842497","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2004,34.05194207,0.958639598,NA
"BK40","ERS542311","14892_1#16","VNI","VNIa-4","","Vietnam","","","ERR842490","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,36.96164178,0.954073755,NA
"BK41","ERS1142711","20427_2#17","VNI","VNIa-5","","Vietnam","","","ERR1671615","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,46.41517152,0.960238341,NA
"BK42","ERS1142712","20427_2#18","VNI","VNIa-5","","Vietnam","","","ERR1671616","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,35.03830996,0.959324252,NA
"BK43","ERS542335","14892_1#39","VNI","VNIa-5","","Vietnam","","","ERR842506","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,29.91374578,0.958336206,NA
"BK44","ERS542343","14892_1#47","VNI","VNIa-5","","Vietnam","","","ERR842513","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,32.91473112,0.958703935,NA
"BK45","ERS1142713","20427_2#19","VNI","VNIa-5","","Vietnam","","","ERR1671617","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,38.40440953,0.959714396,NA
"BK46","ERS1142714","20427_2#20","VNI","VNIa-32","","Vietnam","","","ERR1671618","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,41.46130875,0.960444303,NA
"BK47","ERS1142715","20949_2#6","VNI","VNIa-5","","Vietnam","","","ERR1756539","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,53.62651517,0.991170542,NA
"BK48","ERS1142716","20427_2#21","VNI","VNIa-4","","Vietnam","","","ERR1671619","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,37.98524694,0.956780865,NA
"BK49","ERS1142717","20427_2#22","VNI","VNIa-5","","Vietnam","","","ERR1671620","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,40.95602597,0.959722484,NA
"BK5","ERS1142693","20427_2#2","VNI","VNIa-4","","Vietnam","","","ERR1671600","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2004,55.93813972,0.956728793,NA
"BK50","ERS542391","14892_1#95","VNI","VNIa-5","","Vietnam","","","ERR842557","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,32.88889597,0.958527313,NA
"BK51","ERS1142718","20427_2#23","VNI","VNIa-5","","Vietnam","","","ERR1671621","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,45.35552997,0.960232367,NA
"BK52","ERS542312","14892_1#17","VNI","VNIa-4","","Vietnam","","","ERR842491","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,30.21101985,0.955645484,NA
"BK53","ERS1142719","20427_2#24","VNI","VNIa-4","","Vietnam","","","ERR1671622","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,43.37984881,0.957312211,NA
"BK54","ERS542328","14892_1#32","VNI","VNIa-5","","Vietnam","","","ERR842500","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,30.76684446,0.958304328,NA
"BK55","ERS542336","14892_1#40","VNI","VNIa-93","","Vietnam","","","ERR842507","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,32.19988461,0.957814745,NA
"BK56","ERS542344","14892_1#48","VNI","VNIa-4","","Vietnam","","","ERR842514","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,35.61178316,0.956751736,NA
"BK57","ERS1142720","20427_2#25","VNI","VNIa-4","","Vietnam","","","ERR1671623","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,38.14170647,0.957120047,NA
"BK58","ERS1142721","20427_2#26","VNI","VNIa-4","","Vietnam","","","ERR1671624","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,38.93095268,0.957083041,NA
"BK59","ERS1142722","20427_2#27","VNI","VNIa-4","","Vietnam","","","ERR1671625","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,42.14028335,0.957524887,NA
"BK6","ERS542340","14892_1#44","VNI","VNIa-4","","Vietnam","","","ERR842510","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2004,33.28184355,0.95635287,NA
"BK60","ERS1142723","20427_2#28","VNI","VNIa-5","","Vietnam","","","ERR1671626","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,40.34819341,0.959927125,NA
"BK61","ERS1142724","20427_2#29","VNI","VNIa-4","","Vietnam","","","ERR1671627","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,38.98316767,0.956897062,NA
"BK62","ERS542392","14936_1#1","VNI","VNIa-5","","Vietnam","","","ERR842634","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,33.62901934,0.958799779,NA
"BK63","ERS1142725","20427_2#30","VNI","VNIa-5","","Vietnam","","","ERR1671628","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,41.96400645,0.959891969,NA
"BK64","ERS1142726","20427_2#31","VNI","VNIa-4","","Vietnam","","","ERR1671629","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,36.99644207,0.957104874,NA
"BK65","ERS542321","14892_1#26","VNI","VNIa-5","","Vietnam","","","ERR842496","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,29.98850112,0.9586258,NA
"BK66","ERS1142727","20427_2#32","VNI","VNIa-32","","Vietnam","","","ERR1671630","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,38.96329455,0.96047581,NA
"BK68","ERS1142728","20427_2#33","VNI","VNIa-32","","Vietnam","","","ERR1671631","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,39.63541105,0.96088488,NA
"BK69","ERS1142729","20427_2#34","VNI","VNIa-4","","Vietnam","","","ERR1671632","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,37.67742884,0.957361798,NA
"BK7","ERS1142694","20427_2#3","VNI","VNIa-4","","Vietnam","","","ERR1671601","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2004,47.35788428,0.957985129,NA
"BK70","ERS542361","14892_1#65","VNI","VNIa-4","","Vietnam","","","ERR842530","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,30.18720734,0.955075599,NA
"BK71","ERS1142730","20427_2#35","VNI","VNIa-4","","Vietnam","","","ERR1671633","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,40.8685325,0.957085526,NA
"BK72","ERS1142731","20427_2#36","VNI","VNIa-93","","Vietnam","","","ERR1671634","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,41.44088495,0.958301896,NA
"BK73","ERS1142732","20427_2#37","VNI","VNIa-4","","Vietnam","","","ERR1671635","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,40.3862382,0.956476045,NA
"BK74","ERS1142733","20427_2#38","VNI","VNIa-4","","Vietnam","","","ERR1671636","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,35.73081629,0.956892146,NA
"BK75","ERS542306","14892_1#11","VNI","VNIa-4","","Vietnam","","","ERR842485","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,31.54785013,0.955611333,NA
"BK76","ERS1142734","20427_2#39","VNI","VNIa-5","","Vietnam","","","ERR1671637","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,42.07413301,0.959952235,NA
"BK77","ERS1142735","20949_2#7","VNI","VNIa-5","","Vietnam","","","ERR1756540","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,45.22012395,0.990063042,NA
"BK78","ERS1142736","20949_2#8","VNI","VNIa-5","","Vietnam","","","ERR1756541","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,45.52001231,0.990940593,NA
"BK79","ERS1142737","20427_2#40","VNI","VNIa-4","","Vietnam","","","ERR1671638","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,35.26815752,0.956632526,NA
"BK8","ERS1142695","20427_2#4","VNI","VNIb","","Vietnam","","","ERR1671602","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2004,44.55160567,0.966607303,NA
"BK80","ERS1142738","20427_2#41","VNI","VNIa-4","","Vietnam","","","ERR1671639","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,41.05133729,0.956392572,NA
"BK81","ERS1142739","20427_2#42","VNI","VNIa-32","","Vietnam","","","ERR1671640","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,44.01664043,0.960641278,NA
"BK82","ERS1142740","20427_2#43","VNI","VNIa-5","","Vietnam","","","ERR1671641","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,42.12372259,0.960167819,NA
"BK83","ERS1142741","20427_2#44","VNI","VNIa-4","","Vietnam","","","ERR1671642","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,36.78136793,0.956463516,NA
"BK84","ERS1142742","20427_2#45","VNI","VNIa-4","","Vietnam","","","ERR1671643","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2005,45.78167481,0.957308828,NA
