sample,name,mating_type,country_of_origin_x,isolation_source,broad_project,sra_accession_x,strain_description,in_gwas,phenotyped,source_x,dataset,species_id_from_mash_anlaysis_x,study_x,hiv_status_x,continent_of_origin_x,year_of_origin_x,mean_depth_of_mapping_with_mq_>_30_across_whole_genome_x,proportion_of_genome_covered_by_at_least_5_reads_which_mapped_with_mq_>_30_x,source_y,vni_subdivision,lab_id,species_id_from_mash_anlaysis_y,study_y,hiv_status_y,sra_accession_y,country_of_origin_y,continent_of_origin_y,year_of_origin_y,mean_depth_of_mapping_with_mq_>_30_across_whole_genome_y,proportion_of_genome_covered_by_at_least_5_reads_which_mapped_with_mq_>_30_y,strain,lineage
ERS542520,14893_1#34,,Vietnam,,,ERR842589,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2009.0,35.32625328,0.956662976,Clinical,VNIa-4,BK245,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR842589,Vietnam,Asia,2009.0,35.32625328,0.956662976,14893_1#34,VNI
ERS1142848,20427_3#54,,Vietnam,,,ERR1671724,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2009.0,48.15042009,0.957383156,Clinical,VNIa-4,BK246,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1671724,Vietnam,Asia,2009.0,48.15042009,0.957383156,20427_3#54,VNI
ERS1142849,20427_3#55,,Vietnam,,,ERR1671725,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2009.0,39.08280319,0.956916094,Clinical,VNIa-4,BK247,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1671725,Vietnam,Asia,2009.0,39.08280319,0.956916094,20427_3#55,VNI
ERS1142850,20427_3#56,,Vietnam,,,ERR1671726,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2009.0,47.3870004,0.956761622,Clinical,VNIa-4,BK248,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1671726,Vietnam,Asia,2009.0,47.3870004,0.956761622,20427_3#56,VNI
ERS1142851,20427_3#57,,Vietnam,,,ERR1671727,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2009.0,48.32869913,0.959829589,Clinical,VNIa-5,BK249,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1671727,Vietnam,Asia,2009.0,48.32869913,0.959829589,20427_3#57,VNI
ERS1142705,20427_2#14,,Vietnam,,,ERR1671612,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2004.0,40.74122087,0.959177393,Clinical,VNIa-5,BK25,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1671612,Vietnam,Asia,2004.0,40.74122087,0.959177393,20427_2#14,VNI
ERS1142852,20427_3#58,,Vietnam,,,ERR1671728,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2009.0,68.31460816,0.95829476,Clinical,VNIa-4,BK250,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1671728,Vietnam,Asia,2009.0,68.31460816,0.95829476,20427_3#58,VNI
ERS1142853,20949_2#32,,Vietnam,,,ERR1756565,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2009.0,43.75959475,0.9900163,Clinical,VNIa-5,BK251,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1756565,Vietnam,Asia,2009.0,43.75959475,0.9900163,20949_2#32,VNI
ERS542527,14893_1#40,,Vietnam,,,ERR842593,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2009.0,36.62554168,0.957816014,Clinical,VNIa-93,BK252,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR842593,Vietnam,Asia,2009.0,36.62554168,0.957816014,14893_1#40,VNI
ERS1142854,20949_2#33,,Vietnam,,,ERR1756566,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2009.0,47.61040867,0.985541305,Clinical,VNIa-4,BK253,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1756566,Vietnam,Asia,2009.0,47.61040867,0.985541305,20949_2#33,VNI
ERS1142855,20949_2#34,,Vietnam,,,ERR1756567,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2009.0,48.55711823,0.986198119,Clinical,VNIa-4,BK254,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1756567,Vietnam,Asia,2009.0,48.55711823,0.986198119,20949_2#34,VNI
ERS1142856,20949_2#35,,Vietnam,,,ERR1756568,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2009.0,44.93359525,0.99072409,Clinical,VNIa-5,BK255,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1756568,Vietnam,Asia,2009.0,44.93359525,0.99072409,20949_2#35,VNI
ERS1142857,20949_2#36,,Vietnam,,,ERR1756569,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2009.0,38.80340051,0.98781718,Clinical,VNIa-93,BK256,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1756569,Vietnam,Asia,2009.0,38.80340051,0.98781718,20949_2#36,VNI
ERS1142858,20949_2#37,,Vietnam,,,ERR1756570,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2009.0,50.50473101,0.99090248,Clinical,VNIa-5,BK257,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1756570,Vietnam,Asia,2009.0,50.50473101,0.99090248,20949_2#37,VNI
ERS1142859,20949_2#38,,Vietnam,,,ERR1756571,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2009.0,39.70099908,0.988022673,Clinical,VNIa-93,BK258,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1756571,Vietnam,Asia,2009.0,39.70099908,0.988022673,20949_2#38,VNI
ERS1142860,20949_2#39,,Vietnam,,,ERR1756572,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2009.0,45.70941729,0.988764024,Clinical,VNIa-93,BK259,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1756572,Vietnam,Asia,2009.0,45.70941729,0.988764024,20949_2#39,VNI
ERS542389,14892_1#93,,Vietnam,,,ERR842555,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2004.0,31.03102605,0.958305068,Clinical,VNIa-5,BK26,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR842555,Vietnam,Asia,2004.0,31.03102605,0.958305068,14892_1#93,VNI
ERS1142861,20427_4#1,,Vietnam,,,ERR1671729,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2009.0,61.72034228,0.957426875,Clinical,VNIa-4,BK260,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1671729,Vietnam,Asia,2009.0,61.72034228,0.957426875,20427_4#1,VNI
ERS542536,14893_1#48,,Vietnam,,,ERR842599,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2009.0,30.63606504,0.956486724,Clinical,VNIa-4,BK261,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR842599,Vietnam,Asia,2009.0,30.63606504,0.956486724,14893_1#48,VNI
ERS542537,14893_1#49,,Vietnam,,,ERR842600,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2009.0,32.03735907,0.958617183,Clinical,VNIa-5,BK262,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR842600,Vietnam,Asia,2009.0,32.03735907,0.958617183,14893_1#49,VNI
ERS1142862,20427_4#2,,Vietnam,,,ERR1671730,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2009.0,54.82606317,0.957835574,Clinical,VNIa-4,BK263,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1671730,Vietnam,Asia,2009.0,54.82606317,0.957835574,20427_4#2,VNI
ERS542539,14893_1#51,,Vietnam,,,ERR842602,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2009.0,33.04573882,0.954394962,Clinical,VNIa-4,BK264,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR842602,Vietnam,Asia,2009.0,33.04573882,0.954394962,14893_1#51,VNI
ERS542540,14893_1#52,,Vietnam,,,ERR842603,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2009.0,31.34605697,0.955867199,Clinical,VNIa-4,BK265,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR842603,Vietnam,Asia,2009.0,31.34605697,0.955867199,14893_1#52,VNI
ERS1142863,20427_4#3,,Vietnam,,,ERR1671731,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2010.0,52.05638655,0.956606358,Clinical,VNIa-4,BK266,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1671731,Vietnam,Asia,2010.0,52.05638655,0.956606358,20427_4#3,VNI
ERS1142864,20427_4#4,,Vietnam,,,ERR1671732,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2010.0,49.5176755,0.95706771,Clinical,VNIa-4,BK267,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1671732,Vietnam,Asia,2010.0,49.5176755,0.95706771,20427_4#4,VNI
ERS1142865,20949_2#40,,Vietnam,,,ERR1756573,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2010.0,35.42119473,0.984455984,Clinical,VNIa-4,BK268,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1756573,Vietnam,Asia,2010.0,35.42119473,0.984455984,20949_2#40,VNI
ERS1142866,20427_4#5,,Vietnam,,,ERR1671733,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2010.0,52.62593617,0.959550884,Clinical,VNIa-5,BK269,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1671733,Vietnam,Asia,2010.0,52.62593617,0.959550884,20427_4#5,VNI
ERS542302,14892_1#7,,Vietnam,,,ERR842482,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2004.0,40.71312458,0.959513033,Clinical,VNIa-32,BK27,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR842482,Vietnam,Asia,2004.0,40.71312458,0.959513033,14892_1#7,VNI
ERS542545,14893_1#57,,Vietnam,,,ERR842607,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2010.0,31.13559837,0.955840555,Clinical,VNIa-4,BK270,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR842607,Vietnam,Asia,2010.0,31.13559837,0.955840555,14893_1#57,VNI
ERS542546,14893_1#58,,Vietnam,,,ERR842608,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2010.0,31.78643653,0.953553828,Clinical,VNIa-4,BK271,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR842608,Vietnam,Asia,2010.0,31.78643653,0.953553828,14893_1#58,VNI
ERS1142867,20949_2#41,,Vietnam,,,ERR1756574,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2010.0,37.30256136,0.989536976,Clinical,VNIa-5,BK272,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1756574,Vietnam,Asia,2010.0,37.30256136,0.989536976,20949_2#41,VNI
ERS1142868,20427_4#6,,Vietnam,,,ERR1671734,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2010.0,52.86287774,0.959817535,Clinical,VNIa-93,BK273,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1671734,Vietnam,Asia,2010.0,52.86287774,0.959817535,20427_4#6,VNI
ERS1142869,20949_2#42,,Vietnam,,,ERR1756575,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2010.0,52.21415275,0.986985152,Clinical,VNIa-4,BK274,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1756575,Vietnam,Asia,2010.0,52.21415275,0.986985152,20949_2#42,VNI
ERS1142870,20427_4#7,,Vietnam,,,ERR1671735,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2010.0,60.05694243,0.960663745,Clinical,VNIa-5,BK275,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1671735,Vietnam,Asia,2010.0,60.05694243,0.960663745,20427_4#7,VNI
ERS1142871,20427_4#8,,Vietnam,,,ERR1671736,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2010.0,57.48260373,0.958129556,Clinical,VNIa-4,BK276,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1671736,Vietnam,Asia,2010.0,57.48260373,0.958129556,20427_4#8,VNI
ERS1142872,20949_2#43,,Vietnam,,,ERR1756576,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2010.0,44.00295222,0.988595956,Clinical,VNIa-93,BK277,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1756576,Vietnam,Asia,2010.0,44.00295222,0.988595956,20949_2#43,VNI
ERS1142873,20427_4#9,,Vietnam,,,ERR1671737,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2010.0,54.78504791,0.955173928,Clinical,VNIa-4,BK278,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1671737,Vietnam,Asia,2010.0,54.78504791,0.955173928,20427_4#9,VNI
ERS542554,14893_1#66,,Vietnam,,,ERR842612,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2010.0,31.00272021,0.956243439,Clinical,VNIa-4,BK279,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR842612,Vietnam,Asia,2010.0,31.00272021,0.956243439,14893_1#66,VNI
ERS542310,14892_1#15,,Vietnam,,,ERR842489,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2004.0,32.73210353,0.958618399,Clinical,VNIa-5,BK28,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR842489,Vietnam,Asia,2004.0,32.73210353,0.958618399,14892_1#15,VNI
ERS1142874,20427_4#10,,Vietnam,,,ERR1671738,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2010.0,52.62448902,0.957382468,Clinical,VNIa-4,BK280,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1671738,Vietnam,Asia,2010.0,52.62448902,0.957382468,20427_4#10,VNI
ERS1142875,20427_4#11,,Vietnam,,,ERR1671739,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2010.0,51.58028094,0.957919947,Clinical,VNIa-4,BK282,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1671739,Vietnam,Asia,2010.0,51.58028094,0.957919947,20427_4#11,VNI
ERS1142876,20949_2#44,,Vietnam,,,ERR1756577,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2010.0,48.55734299,0.988277977,Clinical,VNIa-93,BK283,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1756577,Vietnam,Asia,2010.0,48.55734299,0.988277977,20949_2#44,VNI
ERS542558,14893_1#70,,Vietnam,,,ERR842614,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2010.0,31.75931958,0.955420014,Clinical,VNIa-4,BK284,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR842614,Vietnam,Asia,2010.0,31.75931958,0.955420014,14893_1#70,VNI
ERS1142877,20427_4#12,,Vietnam,,,ERR1671740,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2010.0,57.98803021,0.956945962,Clinical,VNIa-4,BK285,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1671740,Vietnam,Asia,2010.0,57.98803021,0.956945962,20427_4#12,VNI
ERS1142878,20427_4#13,,Vietnam,,,ERR1671741,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2010.0,67.31403671,0.958054964,Clinical,VNIa-4,BK286,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1671741,Vietnam,Asia,2010.0,67.31403671,0.958054964,20427_4#13,VNI
ERS2541102,BK287,,Vietnam,,,ERR2624293,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2010.0,39.46106548,0.984431052,Clinical,VNIa-4,BK287,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624293,Vietnam,Asia,2010.0,39.46106548,0.984431052,BK287,VNI
ERS1142880,20427_4#15,,Vietnam,,,ERR1671743,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2010.0,56.98073963,0.960304369,Clinical,VNIa-5,BK288,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1671743,Vietnam,Asia,2010.0,56.98073963,0.960304369,20427_4#15,VNI
ERS1142881,20949_2#45,,Vietnam,,,ERR1756578,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2010.0,51.4371031,0.98874142,Clinical,VNIa-93,BK289,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1756578,Vietnam,Asia,2010.0,51.4371031,0.98874142,20949_2#45,VNI
ERS1142706,20949_2#3,,Vietnam,,,ERR1756536,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2004.0,69.61905773,0.990468151,Clinical,VNIa-93,BK29,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1756536,Vietnam,Asia,2004.0,69.61905773,0.990468151,20949_2#3,VNI
ERS1142882,20949_2#46,,Vietnam,,,ERR1756579,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2010.0,53.73118204,0.990708845,Clinical,VNIa-5,BK290,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1756579,Vietnam,Asia,2010.0,53.73118204,0.990708845,20949_2#46,VNI
ERS1142883,20427_4#16,,Vietnam,,,ERR1671744,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2010.0,65.35545486,0.958265049,Clinical,VNIa-4,BK291,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1671744,Vietnam,Asia,2010.0,65.35545486,0.958265049,20427_4#16,VNI
ERS1142885,20427_4#17,,Vietnam,,,ERR1671745,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2010.0,59.02213616,0.960602845,Clinical,VNIa-5,BK293,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1671745,Vietnam,Asia,2010.0,59.02213616,0.960602845,20427_4#17,VNI
ERS1142886,20949_2#48,,Vietnam,,,ERR1756581,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2010.0,46.24528779,0.990102901,Clinical,VNIa-5,BK294,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1756581,Vietnam,Asia,2010.0,46.24528779,0.990102901,20949_2#48,VNI
ERS1142887,20949_2#49,,Vietnam,,,ERR1756582,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2010.0,48.98397682,0.986616727,Clinical,VNIa-4,BK295,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1756582,Vietnam,Asia,2010.0,48.98397682,0.986616727,20949_2#49,VNI
ERS1142888,20427_4#18,,Vietnam,,,ERR1671746,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2010.0,63.40046704,0.960518155,Clinical,VNIa-5,BK296,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1671746,Vietnam,Asia,2010.0,63.40046704,0.960518155,20427_4#18,VNI
ERS1142889,20427_4#19,,Vietnam,,,ERR1671747,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2010.0,57.45603397,0.960120558,Clinical,VNIa-5,BK297,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1671747,Vietnam,Asia,2010.0,57.45603397,0.960120558,20427_4#19,VNI
ERS1142890,20949_2#50,,Vietnam,,,ERR1756583,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2010.0,51.69359473,0.990605464,Clinical,VNIa-5,BK298,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1756583,Vietnam,Asia,2010.0,51.69359473,0.990605464,20949_2#50,VNI
ERS1142692,20427_2#1,,Vietnam,,,ERR1671599,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2004.0,50.12743558,0.96042543,Clinical,VNIa-5,BK3,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1671599,Vietnam,Asia,2004.0,50.12743558,0.96042543,20427_2#1,VNI
ERS542326,14892_1#30,,Vietnam,,,ERR842498,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2004.0,31.20818968,0.955828872,Clinical,VNIa-4,BK30,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR842498,Vietnam,Asia,2004.0,31.20818968,0.955828872,14892_1#30,VNI
ERS1142892,20949_2#52,,Vietnam,,,ERR1756585,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,,49.29881707,0.989773065,Clinical,VNIa-5,BK301,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1756585,Vietnam,Asia,,49.29881707,0.989773065,20949_2#52,VNI
ERS542334,14892_1#38,,Vietnam,,,ERR842505,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2004.0,30.25511179,0.958299359,Clinical,VNIa-5,BK31,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR842505,Vietnam,Asia,2004.0,30.25511179,0.958299359,14892_1#38,VNI
ERS542342,14892_1#46,,Vietnam,,,ERR842512,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2004.0,32.44603705,0.954472251,Clinical,VNIa-4,BK32,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR842512,Vietnam,Asia,2004.0,32.44603705,0.954472251,14892_1#46,VNI
ERS1142707,20427_2#15,,Vietnam,,,ERR1671613,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2004.0,45.2034851,0.959563149,Clinical,VNIa-93,BK33,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1671613,Vietnam,Asia,2004.0,45.2034851,0.959563149,20427_2#15,VNI
ERS1142708,20949_2#4,,Vietnam,,,ERR1756537,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2004.0,60.40661127,0.992006116,Clinical,VNIa-5,BK34,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1756537,Vietnam,Asia,2004.0,60.40661127,0.992006116,20949_2#4,VNI
ERS542366,14892_1#70,,Vietnam,,,ERR842534,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2004.0,59.51275575,0.956928993,Clinical,VNIa-4,BK35,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR842534,Vietnam,Asia,2004.0,59.51275575,0.956928993,14892_1#70,VNI
ERS542374,14892_1#78,,Vietnam,,,ERR842541,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2005.0,34.76309984,0.958766421,Clinical,VNIa-32,BK36,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR842541,Vietnam,Asia,2005.0,34.76309984,0.958766421,14892_1#78,VNI
ERS1142709,20427_2#16,,Vietnam,,,ERR1671614,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2005.0,39.7988643,0.959611626,Clinical,VNIa-5,BK37,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1671614,Vietnam,Asia,2005.0,39.7988643,0.959611626,20427_2#16,VNI
ERS1142710,20949_2#5,,Vietnam,,,ERR1756538,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2005.0,54.81292685,0.9916126,Clinical,VNIa-5,BK38,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1756538,Vietnam,Asia,2005.0,54.81292685,0.9916126,20949_2#5,VNI
ERS542303,14892_1#8,,Vietnam,,,ERR842483,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2005.0,40.22910518,0.9592015,Clinical,VNIa-5,BK39,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR842483,Vietnam,Asia,2005.0,40.22910518,0.9592015,14892_1#8,VNI
ERS542324,14892_1#29,,Vietnam,,,ERR842497,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2004.0,34.05194207,0.958639598,Clinical,VNIa-5,BK4,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR842497,Vietnam,Asia,2004.0,34.05194207,0.958639598,14892_1#29,VNI
ERS542311,14892_1#16,,Vietnam,,,ERR842490,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2005.0,36.96164178,0.954073755,Clinical,VNIa-4,BK40,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR842490,Vietnam,Asia,2005.0,36.96164178,0.954073755,14892_1#16,VNI
ERS1142711,20427_2#17,,Vietnam,,,ERR1671615,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2005.0,46.41517152,0.960238341,Clinical,VNIa-5,BK41,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1671615,Vietnam,Asia,2005.0,46.41517152,0.960238341,20427_2#17,VNI
ERS1142712,20427_2#18,,Vietnam,,,ERR1671616,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2005.0,35.03830996,0.959324252,Clinical,VNIa-5,BK42,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1671616,Vietnam,Asia,2005.0,35.03830996,0.959324252,20427_2#18,VNI
ERS542335,14892_1#39,,Vietnam,,,ERR842506,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2005.0,29.91374578,0.958336206,Clinical,VNIa-5,BK43,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR842506,Vietnam,Asia,2005.0,29.91374578,0.958336206,14892_1#39,VNI
ERS542343,14892_1#47,,Vietnam,,,ERR842513,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2005.0,32.91473112,0.958703935,Clinical,VNIa-5,BK44,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR842513,Vietnam,Asia,2005.0,32.91473112,0.958703935,14892_1#47,VNI
ERS1142713,20427_2#19,,Vietnam,,,ERR1671617,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Asia,2005.0,38.40440953,0.959714396,Clinical,VNIa-5,BK45,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR1671617,Vietnam,Asia,2005.0,38.40440953,0.959714396,20427_2#19,VNI
